data_cotacao,produto,regiao,unidade,preco,fonte
2026-07-10,Prata litoral primeira - atacado,São Paulo (capital),Caixa 20 Kg,56.67,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-10,Prata litoral primeira - produtor,Norte de Santa Catarina,quilograma,2.22,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-10,Prata litoral primeira - produtor,Vale do Ribeira,quilograma,2.41,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-17,Nanica primeira - atacado,São Paulo (capital),caixa de 22 Kg,53.33,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-17,Nanica primeira - produtor,Bom Jesus da Lapa,quilograma,2.13,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-17,Nanica primeira - produtor,Linhares,quilograma,2.40,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-17,Nanica primeira - produtor,Norte de Minas Gerais,quilograma,2.32,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-17,Nanica primeira - produtor,Norte de Santa Catarina,quilograma,1.14,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-17,Nanica primeira - produtor,Vale do Ribeira,quilograma,1.65,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-17,Prata anã primeira - atacado,São Paulo (capital),Caixa 20 Kg,110.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-17,Prata anã primeira - produtor,Bom Jesus da Lapa,quilograma,1.83,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-17,Prata anã primeira - produtor,Delfinópolis,quilograma,2.64,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-17,Prata anã primeira - produtor,Linhares,quilograma,2.80,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-17,Prata anã primeira - produtor,Norte de Minas Gerais,quilograma,2.55,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-17,Prata anã primeira - produtor,Vale do São Francisco,quilograma,1.87,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-17,Prata litoral primeira - atacado,São Paulo (capital),Caixa 20 Kg,60.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-17,Prata litoral primeira - produtor,Norte de Santa Catarina,quilograma,2.15,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-17,Prata litoral primeira - produtor,Vale do Ribeira,quilograma,2.49,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-24,Nanica primeira - atacado,São Paulo (capital),caixa de 22 Kg,53.33,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-24,Nanica primeira - produtor,Bom Jesus da Lapa,quilograma,2.22,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-24,Nanica primeira - produtor,Linhares,quilograma,2.60,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-24,Nanica primeira - produtor,Norte de Minas Gerais,quilograma,2.65,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-24,Nanica primeira - produtor,Norte de Santa Catarina,quilograma,1.24,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-24,Nanica primeira - produtor,Vale do Ribeira,quilograma,1.92,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-24,Prata anã primeira - atacado,São Paulo (capital),Caixa 20 Kg,110.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-24,Prata anã primeira - produtor,Bom Jesus da Lapa,quilograma,2.07,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-24,Prata anã primeira - produtor,Delfinópolis,quilograma,2.87,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-24,Prata anã primeira - produtor,Linhares,quilograma,2.60,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-24,Prata anã primeira - produtor,Norte de Minas Gerais,quilograma,2.61,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-24,Prata anã primeira - produtor,Vale do São Francisco,quilograma,1.65,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-24,Prata litoral primeira - atacado,São Paulo (capital),Caixa 20 Kg,60.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-24,Prata litoral primeira - produtor,Norte de Santa Catarina,quilograma,2.27,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-24,Prata litoral primeira - produtor,Vale do Ribeira,quilograma,2.52,Hortifruti/Cepea (CC BY-NC 4.0)
